season,week,week_order,week_name
2011,1,1,"As of Week 1, 2011"
2011,2,2,"As of Week 2, 2011"
2011,3,3,"As of Week 3, 2011"
2011,4,4,"As of Week 4, 2011"
2011,5,5,"As of Week 5, 2011"
2011,6,6,"As of Week 6, 2011"
2011,7,7,"As of Week 7, 2011"
2011,8,8,"As of Week 8, 2011"
2011,9,9,"As of Week 9, 2011"
2011,10,10,"As of Week 10, 2011"
2011,11,11,"As of Week 11, 2011"
2011,12,12,"As of Week 12, 2011"
2011,13,13,"As of Week 13, 2011"
2011,14,14,"As of Week 14, 2011"
2011,15,15,"As of Week 15, 2011"
2011,16,16,"As of Week 16, 2011"
2011,17,17,"As of Week 17, 2011"
2012,1,18,"As of Week 1, 2012"
2012,2,19,"As of Week 2, 2012"
2012,3,20,"As of Week 3, 2012"
2012,4,21,"As of Week 4, 2012"
2012,5,22,"As of Week 5, 2012"
2012,6,23,"As of Week 6, 2012"
2012,7,24,"As of Week 7, 2012"
2012,8,25,"As of Week 8, 2012"
2012,9,26,"As of Week 9, 2012"
2012,10,27,"As of Week 10, 2012"
2012,11,28,"As of Week 11, 2012"
2012,12,29,"As of Week 12, 2012"
2012,13,30,"As of Week 13, 2012"
2012,14,31,"As of Week 14, 2012"
2012,15,32,"As of Week 15, 2012"
2012,16,33,"As of Week 16, 2012"
2012,17,34,"As of Week 17, 2012"
2013,1,35,"As of Week 1, 2013"
2013,2,36,"As of Week 2, 2013"
2013,3,37,"As of Week 3, 2013"
2013,4,38,"As of Week 4, 2013"
2013,5,39,"As of Week 5, 2013"
2013,6,40,"As of Week 6, 2013"
2013,7,41,"As of Week 7, 2013"
2013,8,42,"As of Week 8, 2013"
2013,9,43,"As of Week 9, 2013"
2013,10,44,"As of Week 10, 2013"
2013,11,45,"As of Week 11, 2013"
2013,12,46,"As of Week 12, 2013"
2013,13,47,"As of Week 13, 2013"
2013,14,48,"As of Week 14, 2013"
2013,15,49,"As of Week 15, 2013"
2013,16,50,"As of Week 16, 2013"
2013,17,51,"As of Week 17, 2013"
2014,1,52,"As of Week 1, 2014"
2014,2,53,"As of Week 2, 2014"
2014,3,54,"As of Week 3, 2014"
2014,4,55,"As of Week 4, 2014"
2014,5,56,"As of Week 5, 2014"
2014,6,57,"As of Week 6, 2014"
2014,7,58,"As of Week 7, 2014"
2014,8,59,"As of Week 8, 2014"
2014,9,60,"As of Week 9, 2014"
2014,10,61,"As of Week 10, 2014"
2014,11,62,"As of Week 11, 2014"
2014,12,63,"As of Week 12, 2014"
2014,13,64,"As of Week 13, 2014"
2014,14,65,"As of Week 14, 2014"
2014,15,66,"As of Week 15, 2014"
2014,16,67,"As of Week 16, 2014"
2014,17,68,"As of Week 17, 2014"
2015,1,69,"As of Week 1, 2015"
2015,2,70,"As of Week 2, 2015"
2015,3,71,"As of Week 3, 2015"
2015,4,72,"As of Week 4, 2015"
2015,5,73,"As of Week 5, 2015"
2015,6,74,"As of Week 6, 2015"
2015,7,75,"As of Week 7, 2015"
2015,8,76,"As of Week 8, 2015"
2015,9,77,"As of Week 9, 2015"
2015,10,78,"As of Week 10, 2015"
2015,11,79,"As of Week 11, 2015"
2015,12,80,"As of Week 12, 2015"
2015,13,81,"As of Week 13, 2015"
2015,14,82,"As of Week 14, 2015"
2015,15,83,"As of Week 15, 2015"
2015,16,84,"As of Week 16, 2015"
2015,17,85,"As of Week 17, 2015"
2016,1,86,"As of Week 1, 2016"
2016,2,87,"As of Week 2, 2016"
2016,3,88,"As of Week 3, 2016"
2016,4,89,"As of Week 4, 2016"
2016,5,90,"As of Week 5, 2016"
2016,6,91,"As of Week 6, 2016"
2016,7,92,"As of Week 7, 2016"
2016,8,93,"As of Week 8, 2016"
2016,9,94,"As of Week 9, 2016"
2016,10,95,"As of Week 10, 2016"
2016,11,96,"As of Week 11, 2016"
2016,12,97,"As of Week 12, 2016"
2016,13,98,"As of Week 13, 2016"
2016,14,99,"As of Week 14, 2016"
2016,15,100,"As of Week 15, 2016"
2016,16,101,"As of Week 16, 2016"
2016,17,102,"As of Week 17, 2016"
2017,1,103,"As of Week 1, 2017"
2017,2,104,"As of Week 2, 2017"
2017,3,105,"As of Week 3, 2017"
2017,4,106,"As of Week 4, 2017"
2017,5,107,"As of Week 5, 2017"
2017,6,108,"As of Week 6, 2017"
2017,7,109,"As of Week 7, 2017"
2017,8,110,"As of Week 8, 2017"
2017,9,111,"As of Week 9, 2017"
2017,10,112,"As of Week 10, 2017"
2017,11,113,"As of Week 11, 2017"
2017,12,114,"As of Week 12, 2017"
2017,13,115,"As of Week 13, 2017"
2017,14,116,"As of Week 14, 2017"
2017,15,117,"As of Week 15, 2017"
2017,16,118,"As of Week 16, 2017"
2017,17,119,"As of Week 17, 2017"
2018,1,120,"As of Week 1, 2018"
2018,2,121,"As of Week 2, 2018"
2018,3,122,"As of Week 3, 2018"
2018,4,123,"As of Week 4, 2018"
2018,5,124,"As of Week 5, 2018"
2018,6,125,"As of Week 6, 2018"
2018,7,126,"As of Week 7, 2018"
2018,8,127,"As of Week 8, 2018"
2018,9,128,"As of Week 9, 2018"
2018,10,129,"As of Week 10, 2018"
2018,11,130,"As of Week 11, 2018"
2018,12,131,"As of Week 12, 2018"
2018,13,132,"As of Week 13, 2018"
2018,14,133,"As of Week 14, 2018"
2018,15,134,"As of Week 15, 2018"
2018,16,135,"As of Week 16, 2018"
2018,17,136,"As of Week 17, 2018"
2019,1,137,"As of Week 1, 2019"
2019,2,138,"As of Week 2, 2019"
2019,3,139,"As of Week 3, 2019"
2019,4,140,"As of Week 4, 2019"
2019,5,141,"As of Week 5, 2019"
2019,6,142,"As of Week 6, 2019"
2019,7,143,"As of Week 7, 2019"
2019,8,144,"As of Week 8, 2019"
2019,9,145,"As of Week 9, 2019"
2019,10,146,"As of Week 10, 2019"
2019,11,147,"As of Week 11, 2019"
2019,12,148,"As of Week 12, 2019"
2019,13,149,"As of Week 13, 2019"
2019,14,150,"As of Week 14, 2019"
2019,15,151,"As of Week 15, 2019"
2019,16,152,"As of Week 16, 2019"
2019,17,153,"As of Week 17, 2019"
2020,1,154,"As of Week 1, 2020"
2020,2,155,"As of Week 2, 2020"
2020,3,156,"As of Week 3, 2020"
2020,4,157,"As of Week 4, 2020"
2020,5,158,"As of Week 5, 2020"
2020,6,159,"As of Week 6, 2020"
2020,7,160,"As of Week 7, 2020"
2020,8,161,"As of Week 8, 2020"
2020,9,162,"As of Week 9, 2020"
2020,10,163,"As of Week 10, 2020"
2020,11,164,"As of Week 11, 2020"
2020,12,165,"As of Week 12, 2020"
2020,13,166,"As of Week 13, 2020"
2020,14,167,"As of Week 14, 2020"
2020,15,168,"As of Week 15, 2020"
2020,16,169,"As of Week 16, 2020"
2020,17,170,"As of Week 17, 2020"
