season,week,team,opponent,home_away
2021,1,TB,DAL,vs.
2021,1,ATL,PHI,vs.
2021,1,BUF,PIT,vs.
2021,1,CAR,NYJ,vs.
2021,1,CIN,MIN,vs.
2021,1,DET,SF,vs.
2021,1,HOU,JAX,vs.
2021,1,IND,SEA,vs.
2021,1,TEN,ARI,vs.
2021,1,WAS,LAC,vs.
2021,1,KC,CLE,vs.
2021,1,NE,MIA,vs.
2021,1,NO,GB,vs.
2021,1,NYG,DEN,vs.
2021,1,LAR,CHI,vs.
2021,1,LV,BAL,vs.
2021,2,WAS,NYG,vs.
2021,2,CAR,NO,vs.
2021,2,CHI,CIN,vs.
2021,2,CLE,HOU,vs.
2021,2,IND,LAR,vs.
2021,2,JAX,DEN,vs.
2021,2,MIA,BUF,vs.
2021,2,NYJ,NE,vs.
2021,2,PHI,SF,vs.
2021,2,PIT,LV,vs.
2021,2,ARI,MIN,vs.
2021,2,TB,ATL,vs.
2021,2,LAC,DAL,vs.
2021,2,SEA,TEN,vs.
2021,2,BAL,KC,vs.
2021,2,GB,DET,vs.
2021,3,HOU,CAR,vs.
2021,3,BUF,WAS,vs.
2021,3,CLE,CHI,vs.
2021,3,DET,BAL,vs.
2021,3,JAX,ARI,vs.
2021,3,KC,LAC,vs.
2021,3,NE,NO,vs.
2021,3,NYG,ATL,vs.
2021,3,PIT,CIN,vs.
2021,3,TEN,IND,vs.
2021,3,DEN,NYJ,vs.
2021,3,LV,MIA,vs.
2021,3,LAR,TB,vs.
2021,3,MIN,SEA,vs.
2021,3,SF,GB,vs.
2021,3,DAL,PHI,vs.
2021,4,CIN,JAX,vs.
2021,4,ATL,WAS,vs.
2021,4,BUF,HOU,vs.
2021,4,CHI,DET,vs.
2021,4,DAL,CAR,vs.
2021,4,MIA,IND,vs.
2021,4,MIN,CLE,vs.
2021,4,NO,NYG,vs.
2021,4,NYJ,TEN,vs.
2021,4,PHI,KC,vs.
2021,4,LAR,ARI,vs.
2021,4,SF,SEA,vs.
2021,4,DEN,BAL,vs.
2021,4,GB,PIT,vs.
2021,4,NE,TB,vs.
2021,4,LAC,LV,vs.
2021,5,SEA,LAR,vs.
2021,5,ATL,NYJ,vs.
2021,5,CAR,PHI,vs.
2021,5,CIN,GB,vs.
2021,5,HOU,NE,vs.
2021,5,JAX,TEN,vs.
2021,5,MIN,DET,vs.
2021,5,PIT,DEN,vs.
2021,5,TB,MIA,vs.
2021,5,WAS,NO,vs.
2021,5,LAC,CLE,vs.
2021,5,LV,CHI,vs.
2021,5,ARI,SF,vs.
2021,5,DAL,NYG,vs.
2021,5,KC,BUF,vs.
2021,5,BAL,IND,vs.
2021,6,PHI,TB,vs.
2021,6,JAX,MIA,vs.
2021,6,BAL,LAC,vs.
2021,6,CAR,MIN,vs.
2021,6,CHI,GB,vs.
2021,6,DET,CIN,vs.
2021,6,IND,HOU,vs.
2021,6,NYG,LAR,vs.
2021,6,WAS,KC,vs.
2021,6,CLE,ARI,vs.
2021,6,DEN,LV,vs.
2021,6,NE,DAL,vs.
2021,6,PIT,SEA,vs.
2021,6,TEN,BUF,vs.
2021,7,CLE,DEN,vs.
2021,7,BAL,CIN,vs.
2021,7,GB,WAS,vs.
2021,7,MIA,ATL,vs.
2021,7,NE,NYJ,vs.
2021,7,NYG,CAR,vs.
2021,7,TEN,KC,vs.
2021,7,LAR,DET,vs.
2021,7,LV,PHI,vs.
2021,7,ARI,HOU,vs.
2021,7,TB,CHI,vs.
2021,7,SF,IND,vs.
2021,7,SEA,NO,vs.
2021,8,ARI,GB,vs.
2021,8,ATL,CAR,vs.
2021,8,BUF,MIA,vs.
2021,8,CHI,SF,vs.
2021,8,CLE,PIT,vs.
2021,8,DET,PHI,vs.
2021,8,HOU,LAR,vs.
2021,8,IND,TEN,vs.
2021,8,NYJ,CIN,vs.
2021,8,LAC,NE,vs.
2021,8,SEA,JAX,vs.
2021,8,DEN,WAS,vs.
2021,8,NO,TB,vs.
2021,8,MIN,DAL,vs.
2021,8,KC,NYG,vs.
2021,9,IND,NYJ,vs.
2021,9,BAL,MIN,vs.
2021,9,CAR,NE,vs.
2021,9,CIN,CLE,vs.
2021,9,DAL,DEN,vs.
2021,9,JAX,BUF,vs.
2021,9,MIA,HOU,vs.
2021,9,NO,ATL,vs.
2021,9,NYG,LV,vs.
2021,9,PHI,LAC,vs.
2021,9,KC,GB,vs.
2021,9,SF,ARI,vs.
2021,9,LAR,TEN,vs.
2021,9,PIT,CHI,vs.
2021,10,MIA,BAL,vs.
2021,10,DAL,ATL,vs.
2021,10,IND,JAX,vs.
2021,10,NE,CLE,vs.
2021,10,NYJ,BUF,vs.
2021,10,PIT,DET,vs.
2021,10,TEN,NO,vs.
2021,10,WAS,TB,vs.
2021,10,ARI,CAR,vs.
2021,10,LAC,MIN,vs.
2021,10,DEN,PHI,vs.
2021,10,GB,SEA,vs.
2021,10,LV,KC,vs.
2021,10,SF,LAR,vs.
2021,11,ATL,NE,vs.
2021,11,BUF,IND,vs.
2021,11,CAR,WAS,vs.
2021,11,CHI,BAL,vs.
2021,11,CLE,DET,vs.
2021,11,JAX,SF,vs.
2021,11,MIN,GB,vs.
2021,11,NYJ,MIA,vs.
2021,11,PHI,NO,vs.
2021,11,TEN,HOU,vs.
2021,11,LV,CIN,vs.
2021,11,KC,DAL,vs.
2021,11,SEA,ARI,vs.
2021,11,LAC,PIT,vs.
2021,11,TB,NYG,vs.
2021,12,DET,CHI,vs.
2021,12,DAL,LV,vs.
2021,12,NO,BUF,vs.
2021,12,CIN,PIT,vs.
2021,12,HOU,NYJ,vs.
2021,12,IND,TB,vs.
2021,12,JAX,ATL,vs.
2021,12,MIA,CAR,vs.
2021,12,NE,TEN,vs.
2021,12,NYG,PHI,vs.
2021,12,DEN,LAC,vs.
2021,12,GB,LAR,vs.
2021,12,SF,MIN,vs.
2021,12,BAL,CLE,vs.
2021,12,WAS,SEA,vs.
2021,13,NO,DAL,vs.
2021,13,ATL,TB,vs.
2021,13,CHI,ARI,vs.
2021,13,CIN,LAC,vs.
2021,13,DET,MIN,vs.
2021,13,HOU,IND,vs.
2021,13,MIA,NYG,vs.
2021,13,NYJ,PHI,vs.
2021,13,LAR,JAX,vs.
2021,13,LV,WAS,vs.
2021,13,PIT,BAL,vs.
2021,13,SEA,SF,vs.
2021,13,KC,DEN,vs.
2021,13,BUF,NE,vs.
2021,14,MIN,PIT,vs.
2021,14,CAR,ATL,vs.
2021,14,CLE,BAL,vs.
2021,14,HOU,SEA,vs.
2021,14,KC,LV,vs.
2021,14,NYJ,NO,vs.
2021,14,TEN,JAX,vs.
2021,14,WAS,DAL,vs.
2021,14,DEN,DET,vs.
2021,14,LAC,NYG,vs.
2021,14,CIN,SF,vs.
2021,14,TB,BUF,vs.
2021,14,GB,CHI,vs.
2021,14,ARI,LAR,vs.
2021,15,LAC,KC,vs.
2021,15,IND,NE,vs.
2021,15,BUF,CAR,vs.
2021,15,DET,ARI,vs.
2021,15,JAX,HOU,vs.
2021,15,MIA,NYJ,vs.
2021,15,NYG,DAL,vs.
2021,15,PIT,TEN,vs.
2021,15,DEN,CIN,vs.
2021,15,SF,ATL,vs.
2021,15,BAL,GB,vs.
2021,15,TB,NO,vs.
2021,15,CLE,LV,vs.
2021,15,CHI,MIN,vs.
2021,15,LAR,SEA,vs.
2021,15,PHI,WAS,vs.
2021,16,TEN,SF,vs.
2021,16,GB,CLE,vs.
2021,16,ARI,IND,vs.
2021,16,ATL,DET,vs.
2021,16,CAR,TB,vs.
2021,16,CIN,BAL,vs.
2021,16,HOU,LAC,vs.
2021,16,MIN,LAR,vs.
2021,16,NE,BUF,vs.
2021,16,NYJ,JAX,vs.
2021,16,PHI,NYG,vs.
2021,16,SEA,CHI,vs.
2021,16,KC,PIT,vs.
2021,16,LV,DEN,vs.
2021,16,DAL,WAS,vs.
2021,16,NO,MIA,vs.
2021,17,BAL,LAR,vs.
2021,17,BUF,ATL,vs.
2021,17,CHI,NYG,vs.
2021,17,CIN,KC,vs.
2021,17,IND,LV,vs.
2021,17,NE,JAX,vs.
2021,17,NYJ,TB,vs.
2021,17,TEN,MIA,vs.
2021,17,WAS,PHI,vs.
2021,17,LAC,DEN,vs.
2021,17,SF,HOU,vs.
2021,17,DAL,ARI,vs.
2021,17,NO,CAR,vs.
2021,17,SEA,DET,vs.
2021,17,GB,MIN,vs.
2021,17,PIT,CLE,vs.
2021,18,DEN,KC,vs.
2021,18,PHI,DAL,vs.
2021,18,BAL,PIT,vs.
2021,18,CLE,CIN,vs.
2021,18,DET,GB,vs.
2021,18,HOU,TEN,vs.
2021,18,JAX,IND,vs.
2021,18,MIN,CHI,vs.
2021,18,NYG,WAS,vs.
2021,18,ARI,SEA,vs.
2021,18,ATL,NO,vs.
2021,18,BUF,NYJ,vs.
2021,18,LAR,SF,vs.
2021,18,MIA,NE,vs.
2021,18,TB,CAR,vs.
2021,18,LV,LAC,vs.
2021,19,CIN,LV,vs.
2021,19,BUF,NE,vs.
2021,19,TB,PHI,vs.
2021,19,DAL,SF,vs.
2021,19,KC,PIT,vs.
2021,19,LAR,ARI,vs.
2021,20,TEN,CIN,vs.
2021,20,GB,SF,vs.
2021,20,TB,LAR,vs.
2021,20,KC,BUF,vs.
2021,21,KC,CIN,vs.
2021,21,LAR,SF,vs.
2021,22,CIN,LAR,vs.
2022,1,LAR,BUF,vs.
2022,1,ATL,NO,vs.
2022,1,CAR,CLE,vs.
2022,1,CHI,SF,vs.
2022,1,CIN,PIT,vs.
2022,1,DET,PHI,vs.
2022,1,HOU,IND,vs.
2022,1,MIA,NE,vs.
2022,1,NYJ,BAL,vs.
2022,1,WAS,JAX,vs.
2022,1,ARI,KC,vs.
2022,1,LAC,LV,vs.
2022,1,MIN,GB,vs.
2022,1,TEN,NYG,vs.
2022,1,DAL,TB,vs.
2022,1,SEA,DEN,vs.
2022,2,KC,LAC,vs.
2022,2,BAL,MIA,vs.
2022,2,CLE,NYJ,vs.
2022,2,DET,WAS,vs.
2022,2,JAX,IND,vs.
2022,2,NO,TB,vs.
2022,2,NYG,CAR,vs.
2022,2,PIT,NE,vs.
2022,2,LAR,ATL,vs.
2022,2,SF,SEA,vs.
2022,2,DAL,CIN,vs.
2022,2,DEN,HOU,vs.
2022,2,LV,ARI,vs.
2022,2,GB,CHI,vs.
2022,2,BUF,TEN,vs.
2022,2,PHI,MIN,vs.
2022,3,CLE,PIT,vs.
2022,3,CAR,NO,vs.
2022,3,CHI,HOU,vs.
2022,3,IND,KC,vs.
2022,3,MIA,BUF,vs.
2022,3,MIN,DET,vs.
2022,3,NE,BAL,vs.
2022,3,NYJ,CIN,vs.
2022,3,TEN,LV,vs.
2022,3,WAS,PHI,vs.
2022,3,LAC,JAX,vs.
2022,3,ARI,LAR,vs.
2022,3,SEA,ATL,vs.
2022,3,TB,GB,vs.
2022,3,DEN,SF,vs.
2022,3,NYG,DAL,vs.
2022,4,CIN,MIA,vs.
2022,4,NO,MIN,vs.
2022,4,ATL,CLE,vs.
2022,4,BAL,BUF,vs.
2022,4,DAL,WAS,vs.
2022,4,DET,SEA,vs.
2022,4,HOU,LAC,vs.
2022,4,IND,TEN,vs.
2022,4,NYG,CHI,vs.
2022,4,PHI,JAX,vs.
2022,4,PIT,NYJ,vs.
2022,4,CAR,ARI,vs.
2022,4,GB,NE,vs.
2022,4,LV,DEN,vs.
2022,4,TB,KC,vs.
2022,4,SF,LAR,vs.
2022,5,DEN,IND,vs.
2022,5,GB,NYG,vs.
2022,5,BUF,PIT,vs.
2022,5,CLE,LAC,vs.
2022,5,JAX,HOU,vs.
2022,5,MIN,CHI,vs.
2022,5,NE,DET,vs.
2022,5,NO,SEA,vs.
2022,5,NYJ,MIA,vs.
2022,5,TB,ATL,vs.
2022,5,WAS,TEN,vs.
2022,5,CAR,SF,vs.
2022,5,ARI,PHI,vs.
2022,5,LAR,DAL,vs.
2022,5,BAL,CIN,vs.
2022,5,KC,LV,vs.
2022,6,CHI,WAS,vs.
2022,6,ATL,SF,vs.
2022,6,CLE,NE,vs.
2022,6,GB,NYJ,vs.
2022,6,IND,JAX,vs.
2022,6,MIA,MIN,vs.
2022,6,NO,CIN,vs.
2022,6,NYG,BAL,vs.
2022,6,PIT,TB,vs.
2022,6,LAR,CAR,vs.
2022,6,SEA,ARI,vs.
2022,6,KC,BUF,vs.
2022,6,PHI,DAL,vs.
2022,6,LAC,DEN,vs.
2022,7,ARI,NO,vs.
2022,7,BAL,CLE,vs.
2022,7,CAR,TB,vs.
2022,7,CIN,ATL,vs.
2022,7,DAL,DET,vs.
2022,7,JAX,NYG,vs.
2022,7,TEN,IND,vs.
2022,7,WAS,GB,vs.
2022,7,DEN,NYJ,vs.
2022,7,LV,HOU,vs.
2022,7,LAC,SEA,vs.
2022,7,SF,KC,vs.
2022,7,MIA,PIT,vs.
2022,7,NE,CHI,vs.
2022,8,TB,BAL,vs.
2022,8,JAX,DEN,vs.
2022,8,ATL,CAR,vs.
2022,8,DAL,CHI,vs.
2022,8,DET,MIA,vs.
2022,8,MIN,ARI,vs.
2022,8,NO,LV,vs.
2022,8,NYJ,NE,vs.
2022,8,PHI,PIT,vs.
2022,8,HOU,TEN,vs.
2022,8,IND,WAS,vs.
2022,8,LAR,SF,vs.
2022,8,SEA,NYG,vs.
2022,8,BUF,GB,vs.
2022,8,CLE,CIN,vs.
2022,9,HOU,PHI,vs.
2022,9,ATL,LAC,vs.
2022,9,CHI,MIA,vs.
2022,9,CIN,CAR,vs.
2022,9,DET,GB,vs.
2022,9,JAX,LV,vs.
2022,9,NE,IND,vs.
2022,9,NYJ,BUF,vs.
2022,9,WAS,MIN,vs.
2022,9,ARI,SEA,vs.
2022,9,TB,LAR,vs.
2022,9,KC,TEN,vs.
2022,9,NO,BAL,vs.
2022,10,CAR,ATL,vs.
2022,10,TB,SEA,vs.
2022,10,BUF,MIN,vs.
2022,10,CHI,DET,vs.
2022,10,KC,JAX,vs.
2022,10,MIA,CLE,vs.
2022,10,NYG,HOU,vs.
2022,10,PIT,NO,vs.
2022,10,TEN,DEN,vs.
2022,10,LV,IND,vs.
2022,10,GB,DAL,vs.
2022,10,LAR,ARI,vs.
2022,10,SF,LAC,vs.
2022,10,PHI,WAS,vs.
2022,11,GB,TEN,vs.
2022,11,ATL,CHI,vs.
2022,11,BAL,CAR,vs.
2022,11,BUF,CLE,vs.
2022,11,HOU,WAS,vs.
2022,11,IND,PHI,vs.
2022,11,NE,NYJ,vs.
2022,11,NO,LAR,vs.
2022,11,NYG,DET,vs.
2022,11,DEN,LV,vs.
2022,11,LAC,KC,vs.
2022,11,MIN,DAL,vs.
2022,11,PIT,CIN,vs.
2022,11,ARI,SF,vs.
2022,12,DET,BUF,vs.
2022,12,DAL,NYG,vs.
2022,12,MIN,NE,vs.
2022,12,CAR,DEN,vs.
2022,12,CLE,TB,vs.
2022,12,JAX,BAL,vs.
2022,12,MIA,HOU,vs.
2022,12,NYJ,CHI,vs.
2022,12,TEN,CIN,vs.
2022,12,WAS,ATL,vs.
2022,12,ARI,LAC,vs.
2022,12,SEA,LV,vs.
2022,12,KC,LAR,vs.
2022,12,SF,NO,vs.
2022,12,PHI,GB,vs.
2022,12,IND,PIT,vs.
2022,13,NE,BUF,vs.
2022,13,ATL,PIT,vs.
2022,13,BAL,DEN,vs.
2022,13,CHI,GB,vs.
2022,13,DET,JAX,vs.
2022,13,HOU,CLE,vs.
2022,13,MIN,NYJ,vs.
2022,13,NYG,WAS,vs.
2022,13,PHI,TEN,vs.
2022,13,LAR,SEA,vs.
2022,13,SF,MIA,vs.
2022,13,CIN,KC,vs.
2022,13,LV,LAC,vs.
2022,13,DAL,IND,vs.
2022,13,TB,NO,vs.
2022,14,LAR,LV,vs.
2022,14,BUF,NYJ,vs.
2022,14,CIN,CLE,vs.
2022,14,DAL,HOU,vs.
2022,14,DET,MIN,vs.
2022,14,NYG,PHI,vs.
2022,14,PIT,BAL,vs.
2022,14,TEN,JAX,vs.
2022,14,LAC,MIA,vs.
2022,14,SEA,CAR,vs.
2022,14,SF,TB,vs.
2022,14,DEN,KC,vs.
2022,14,ARI,NE,vs.
2022,15,SEA,SF,vs.
2022,15,BUF,MIA,vs.
2022,15,CAR,PIT,vs.
2022,15,CHI,PHI,vs.
2022,15,CLE,BAL,vs.
2022,15,HOU,KC,vs.
2022,15,JAX,DAL,vs.
2022,15,MIN,IND,vs.
2022,15,NO,ATL,vs.
2022,15,NYJ,DET,vs.
2022,15,WAS,NYG,vs.
2022,15,DEN,ARI,vs.
2022,15,LAC,TEN,vs.
2022,15,TB,CIN,vs.
2022,15,LV,NE,vs.
2022,15,GB,LAR,vs.
2022,16,NYJ,JAX,vs.
2022,16,BAL,ATL,vs.
2022,16,CAR,DET,vs.
2022,16,CHI,BUF,vs.
2022,16,CLE,NO,vs.
2022,16,KC,SEA,vs.
2022,16,MIN,NYG,vs.
2022,16,NE,CIN,vs.
2022,16,TEN,HOU,vs.
2022,16,SF,WAS,vs.
2022,16,DAL,PHI,vs.
2022,16,PIT,LV,vs.
2022,16,MIA,GB,vs.
2022,16,LAR,DEN,vs.
2022,16,ARI,TB,vs.
2022,16,IND,LAC,vs.
2022,17,TEN,DAL,vs.
2022,17,ATL,ARI,vs.
